GluteyLegionED,Glutey,2019/07/29, 15:02:13,https://www.pathofexile.com/account/view-profile/Glutey/characters
,Damnation Shelter,Hubris Circlet,Helm,https://web.poecdn.com/image/Art/2DItems/Armours/Helmets/HelmetInt11.png?scale=1&w=2&h=2&v=e785517985bfa266e348519edfc14485,43310688efe80c04cf28494b9744d50b49c1c07879f20550dd04cdf178aca98f
,Phoenix Whorl,Two-Stone Ring,Ring,https://web.poecdn.com/image/Art/2DItems/Rings/TopazRuby.png?scale=1&w=1&h=1&v=0bd3c7197b952981eb21cb0dc278c04d,e87df6471d1f20079e70eea547d4679dc537f9197104aecffe0d684c44479f91
,Dire Grasp,Sorcerer Gloves,Gloves,https://web.poecdn.com/image/Art/2DItems/Armours/Gloves/GlovesInt4.png?scale=1&w=2&h=2&v=373419137bbd6b0e4ba9439b3ff1a7d5,18c274f05b15c2aeb656cdbe86494822c278a311ac321aa67b3336fc747619c7
,Corpse Star,Fossilised Spirit Shield,Offhand2,https://web.poecdn.com/image/Art/2DItems/Armours/Shields/ShieldInt3.png?scale=1&w=2&h=2&v=0b4ca72b3f1678f750402c910c3fb09c,af943c6c4c062251171dc2f0e82f2c3385bdc9dbc694584db327c6e1083a7c77
,Woe Shackle,Crystal Belt,Belt,https://web.poecdn.com/image/Art/2DItems/Belts/CrystalBelt.png?scale=1&w=2&h=1&v=63156732e8bfa8dc4f84a814124d19d5,791730be581684290b57eb83def3f9c6a0934d6789c8e088d8d6d9c9193371cf
,Demon Goad,Arcanist Slippers,Boots,https://web.poecdn.com/image/Art/2DItems/Armours/Boots/BootsInt3.png?scale=1&w=2&h=2&v=77abd4784ad8e1666ac1b956c565a80e,4e335a7b3e86f26b8612863732e5b698d88b889aea146bd878f395de532a8ebe
,Dragon Barb,Imbued Wand,Weapon,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Wands/Wand3.png?scale=1&w=1&h=3&v=ac9f7eee09f5a8f580151298712f2a9e,65ce0327bc5fdd796b2e7beba7e1f61ec7be16f9aad92564a64b7012ca663886
,Pain Weaver,Imbued Wand,Weapon2,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Wands/Wand3.png?scale=1&w=1&h=3&v=ac9f7eee09f5a8f580151298712f2a9e,f75de3b150546b3ebe1d8267fe4c2dab242ca78e5b600d4ebf789ba86c24147c

HybridED,hybrid3214,2019/07/29, 15:02:13,https://www.pathofexile.com/account/view-profile/hybrid3214/characters
,Grim Twirl,Moonstone Ring,Ring2,https://web.poecdn.com/image/Art/2DItems/Rings/MoonstoneRing.png?scale=1&w=1&h=1&v=4715c1b82b9843bf4b12f0aad25b3f26,11de4a077a6da77e02038a272b23035be0fd0aba4305761b4930840a58a07d37
,Mind Buckle,Crystal Belt,Belt,https://web.poecdn.com/image/Art/2DItems/Belts/CrystalBelt.png?scale=1&w=2&h=1&v=63156732e8bfa8dc4f84a814124d19d5,3b3edace418f250b624671470c35eccb31e75ce50e9e792fd97b76faa86b7747
,Loath Corona,Hubris Circlet,Helm,https://web.poecdn.com/image/Art/2DItems/Armours/Helmets/HelmetInt11.png?scale=1&w=2&h=2&v=e785517985bfa266e348519edfc14485,4e779086aed88437c5c9c8a498573dc072069f539f9b48f2b11d0c49ed368ef1
,Beast Siege,Short Bow,Weapon,https://web.poecdn.com/image/Art/2DItems/Weapons/TwoHandWeapons/Bows/Bow2.png?scale=1&w=2&h=3&v=c6b09fe119e14b0a1af35c694e705bd3,5490523f27b394a548a4db217ea188f8b484225bbd67559d0408a33ae522d605
,Hate Coil,Two-Stone Ring,Ring,https://web.poecdn.com/image/Art/2DItems/Rings/TopazSapphire.png?scale=1&w=1&h=1&v=b7334698bf04b28f755467f256a3276b,c2b73d0529b3d19e6ad84da11cc563747d3b712ddb24cba69c4995bf184f5c2c
,Golem Span,Sorcerer Boots,Boots,https://web.poecdn.com/image/Art/2DItems/Armours/Boots/BootsInt4.png?scale=1&w=2&h=2&v=4808dffa0aa9745b57119af9319d0be3,69eef00bf424077ff1bef2ce075df9e2cadde5eaac86bc0fae4dff4b72ec78ea
,,Superior Shadow Sceptre,Offhand2,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Scepters/scepter8.png?scale=1&w=2&h=3&v=f1b80e8b35ecb64cf2441a9ef9a39562,28fbdc14684f887eab200c844ed1a58b9b837eb6eb23d238bd99afb4043cdd96
,,Platinum Sceptre,Weapon2,https://web.poecdn.com/image/Art/2DItems/Weapons/OneHandWeapons/Scepters/scepter5.png?scale=1&w=2&h=3&v=aeda4968c33642bd017edfb11c5fd010,ec49376139f428ebacc006606fb775cc9e6226dee6d460a5a44782400b73f806
,Gloom Fingers,Fingerless Silk Gloves,Gloves,https://web.poecdn.com/image/Art/2DItems/Armours/Gloves/FingerlessSilkGloves.png?scale=1&w=2&h=2&v=8ef9d6c01a770301713fd41e41b1a3be,0d40802d836d6c0514cafffd9c8b1c915b8e4d00e56a7020ed574ed7b93aaebc

SevEverythingSucks,Sevatarn,2019/07/29, 15:02:13,https://www.pathofexile.com/account/view-profile/Sevatarn/characters
,Rift Tread,Hydrascale Boots,Boots,https://web.poecdn.com/image/Art/2DItems/Armours/Boots/BootsStrDex2.png?scale=1&w=2&h=2&v=bdfb39d9a0b60c4ac542bedd8ff06e08,20990384e2175ffcd2a60424a47dd01a3754b75f2f0a261ca48433b41f3fda84
